ID,molecule,iso-slug,formula,dataset,Tmax,mass,abundance,Main column,Main format,QN label,QN format
39,H2CS,1H2-12C-32S,(1H)2(12C)(32S),MOTY,2000,45.987721,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%45d","Grve,v1,v2,v3,v4,v5,v6,Ka,Kc,ivib","%3s,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d,%2d"
40,H2O,1H2-16O,(1H)2(16O),POKAZATEL,10000,18.010565,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%46d","Ka,Kc,v1,v2,v3,Grve","%2d,%2d,%3d,%3d,%3d,%3s"
41,H2S,1H2-32S,(1H)2(32S),AYT2,3000,33.987721,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%47d","Grve,Ka,Kc,v1,v2,v3","%3s,%2d,%2d,%2d,%2d,%2d"
42,H3O_p,1H3-16O_p,(1H)3(16O)+,eXeL,2000,19.01839,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%48d","Grve,n1,n2,n3,l3,n4,l4,K","%3s,%2d,%2d,%2d,%2d,%2d,%2d,%3d"
43,H3_p,1H2-2H_p,(1H)2(2H)+,ST,5000,4.029752,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%49d","+/-,Grve,nblock,nsisomer,v1,v2,v3,Ka,Kc","%1s,%3s,%5d,%1s,%2d,%2d,%2d,%2d,%2d"
44,H3_p,1H3_p,(1H)3+,MiZATeP,5000,3.023475,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%50d","e/f,Grve,nblock,nsisomer,v1,v2,l2,G,U,K","%1s,%3s,%5d,%1s,%2d,%2d,%2d,%2d,%1s,%3d"
45,H3_p,2H2-1H_p,(2H)2(1H)+,MiZo,2000,5.036029,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%51d","+/-,Grve,nblock,nsisomer,v1,v2,v3,Ka,Kc","%1s,%3s,%5d,%1s,%2d,%2d,%2d,%2d,%2d"
46,H3_p,2H3_p,(2H)3+,MiZo,800,6.042305,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%52d","+/-,Grve,nblock,nsisomer,v1,v2,l2,G,U,K","%1s,%3s,%5d,%1s,%2d,%2d,%2d,%2d,%1s,%3d"
47,KH,39K-1H,(39K)(1H),Khan,10001,39.971532,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%53d","+/-,e/f,ElecState,v,N","%1s,%1s,%12s,%5d,%5d"
48,KH,40K-1H,(40K)(1H),Khan,10001,40.971823,1,"nu,unc,A,S,E"",g',g"",J',J""","%12.6f,%12.6f,%10.4E,%10.4E,%12.6f,%6d,%6d,%7d,%54d","+/-,e/f,ElecState,v,N","%1s,%1s,%12s,%5d,%5d"
